PartNumber,widthX,lengthY,height,padY,padX,landingInsideX,landingOutsideX,landingY
FXL0412,3.85,4.2,1,0.8,2,2.2,5.2,2.5
FXL0420,3.85,4.2,1.8,0.8,2,2.2,5.2,2.5
FXL0518,4.85,5.2,1.6,1.2,2.2,2.2,6,2.5
FXL0530,4.85,5.2,2.8,1.2,2.2,2.2,6,2.5
FXL0615,6.45,6.6,1.3,1.6,3,3.7,8.4,3.5
FXL0618,6.45,6.6,1.6,1.6,3,3.7,8.4,3.5
FXL0624,6.45,6.6,2.2,1.6,3,3.7,8.4,3.5
FXL0630,6.45,6.6,2.8,1.6,3,3.7,8.4,3.5
FXL0640,6.45,6.6,3.8,1.6,3,3.7,8.4,3.5
FXL0650,6.45,6.6,4.8,1.6,3,3.7,8.4,3.5
FXL0840,8.25,8.2,3.8,1.4,5,4,9.5,5.5
FXL1030,10.95,10,2.8,2,3,5.4,13.6,4.1
FXL1040,10.95,10,3.8,2,3,5.4,13.6,4.1
FXL1050,10.95,10,4.8,2,3,5.4,13.6,4.1
FXL1340,12.9,12.8,4,2,5,8,14.5,5.5
FXL1350,12.9,12.6,4.8,2,5,8,14.5,5.5
FXL1360,12.9,12.6,5.8,2,5,8,14.5,5.5
FXL1365,12.9,12.6,6.5,2,5,8,14.5,5.5
FXL1770,16.6,17.15,7,2.5,12,11.2,18.2,12.8
FXL2213,22.95,22,12.6,5,19,12.5,24,19.6
