PartNumber,widthX,lengthY,height,padSpacingX,padY,padX,landingSpacingX,landingY,landingX
1515SQ-47N,4.06,3.56,3.73,3.56,3.56,0.89,3.56,4.45,1.78
1515SQ-68N,5.33,3.56,3.73,4.83,3.56,0.89,4.83,4.45,1.78
1515SQ-82N,5.84,3.56,3.73,5.33,3.56,0.89,5.33,4.45,1.78
2222SQ-90N,5.21,5.46,5.69,4.45,5.46,1.08,4.45,6.48,2.16
2222SQ-111,6.35,5.59,5.69,5.84,5.59,1.08,5.84,6.73,2.16
2222SQ-131,6.73,5.59,5.69,6.22,5.59,1.08,6.22,6.73,2.16
2222SQ-161,7.37,5.59,5.69,6.6,5.59,1.08,6.6,6.73,2.16
2222SQ-181,8.13,5.59,5.69,7.37,5.59,1.08,7.37,6.73,2.16
2222SQ-221,9.91,5.59,5.69,9.14,5.59,1.08,9.14,6.73,2.16
2222SQ-271,11.68,5.59,5.69,10.67,5.59,1.08,10.67,6.73,2.16
2222SQ-301,11.94,5.72,5.69,11.18,5.72,1.08,11.18,6.73,2.16
2929SQ-331,10.29,7.49,7.24,9.53,7.49,1.145,9.53,8.26,2.29
2929SQ-361,11.3,7.49,7.24,10.541,7.49,1.145,10.541,8.26,2.29
2929SQ-391,12.32,7.49,7.24,11.56,7.49,1.145,11.56,8.26,2.29
2929SQ-431,13.21,7.49,7.24,12.45,7.49,1.145,12.45,8.26,2.29
2929SQ-501,14,7.49,7.24,13.21,7.49,1.145,13.21,8.26,2.29
